experiment,dataset,model,seed,accuracy,macro_f1,binary_f1,auc_roc,precision,recall,cfr,ctfg,fped,fned,per_group_f1_std
dynahate_bert-base-uncased_llmclp_s42_swap_metrics,dynahate,bert-base-uncased,42,0.7660194174757281,0.7621723438522465,0.7924203273040482,0.8492842001211331,0.7744107744107744,0.8112874779541446,0.08035111411208642,0.0390653976897667,0.0,31.961930722539208,
dynahate_bert-base-uncased_llmclp_s123_swap_metrics,dynahate,bert-base-uncased,123,0.7737864077669903,0.771947141796585,0.7924276169265033,0.8523558591503155,0.8006300630063007,0.7843915343915344,0.0837272113436867,0.051576361877643764,0.0,34.92095556693572,
dynahate_bert-base-uncased_llmclp_s2024_swap_metrics,dynahate,bert-base-uncased,2024,0.7759708737864077,0.7729786466464538,0.7990420204659264,0.8553993061507461,0.789247311827957,0.8090828924162258,0.06684672518568535,0.0357199961207631,0.0,32.187460161657214,
dynahate_llmclp_s42_0519_0941_swap_metrics,dynahate,deberta-v3-base,42,0.8575242718446602,0.85666498287553,0.8677630096868664,0.9343587036846575,0.8871487793643482,0.8492063492063492,0.011478730587440918,0.012509248513730895,0.0,28.866937701466824,
dynahate_llmclp_s123_0519_1003_swap_metrics,dynahate,deberta-v3-base,123,0.8521844660194174,0.8504869506799647,0.8664180741390656,0.921943268348056,0.8620689655172413,0.8708112874779541,0.014179608372721135,0.010984516455612669,0.0,27.66488233848939,
dynahate_llmclp_s2024_0519_1037_swap_metrics,dynahate,deberta-v3-base,2024,0.8553398058252427,0.8541636228656273,0.867260579064588,0.9353711226911371,0.8762376237623762,0.8584656084656085,0.01823092505064146,0.013770311326920423,0.0,25.762488352111035,
dynahate_roberta-base_llmclp_s42_swap_metrics,dynahate,roberta-base,42,0.8048543689320389,0.8025404214864977,0.823915900131406,0.8814844812415006,0.8185378590078329,0.8293650793650794,0.06347062795408508,0.04940646343878964,0.0,30.63654905505368,
dynahate_roberta-base_llmclp_s123_swap_metrics,dynahate,roberta-base,123,0.8118932038834952,0.8097329832134199,0.8300065803904365,0.8858544887837545,0.8258402444347447,0.8342151675485009,0.07292370020256583,0.04741021074671588,0.0,29.713438401761625,
dynahate_roberta-base_llmclp_s2024_swap_metrics,dynahate,roberta-base,2024,0.8055825242718446,0.8037789025396329,0.8225913621262458,0.8821028841502204,0.8264352469959947,0.8187830687830688,0.06819716407832546,0.04505078222635306,0.0,30.36121029883016,
hatexplain_bert-base-uncased_llmclp_s42_swap_metrics,hatexplain,bert-base-uncased,42,0.7666320166320166,0.7554736891267827,0.8077087794432548,0.8367756795857763,0.7904442581726739,0.8257443082311734,0.04744525547445255,0.039655475301663516,0.7297291610419937,0.5653302219542259,0.06898369132391298
hatexplain_bert-base-uncased_llmclp_s123_swap_metrics,hatexplain,bert-base-uncased,123,0.7780665280665281,0.7666819741612898,0.8182205193699447,0.8465803476648407,0.796188898094449,0.841506129597198,0.06082725060827251,0.0326748798961622,0.5022744355979127,0.5238359956281895,0.015177389975089148
hatexplain_bert-base-uncased_llmclp_s2024_swap_metrics,hatexplain,bert-base-uncased,2024,0.7739085239085239,0.7665761631239201,0.8079470198675497,0.8502386220611751,0.8147818343722173,0.8012259194395797,0.05961070559610705,0.036347073575350344,0.5845203584115469,0.6242207258348875,0.019077928333577666
hatexplain_llmclp_s42_0523_1959_swap_metrics,hatexplain,deberta-v3-base,42,0.8066528066528067,0.7992277992277992,0.8378378378378378,0.8812561307169635,0.8342013888888888,0.841506129597198,0.08880778588807786,0.07702521314655279,0.8703326134532565,0.4589273596306719,0.04648935099700398
hatexplain_llmclp_s123_0522_0844_swap_metrics,hatexplain,deberta-v3-base,123,0.8035343035343036,0.7976535477236608,0.8321492007104796,0.8842363870089268,0.8441441441441442,0.8204903677758318,0.07177615571776155,0.06315703963217328,1.1744430076097954,0.5429574049805816,0.1425723014923498
hatexplain_llmclp_s2024_0522_0853_swap_metrics,hatexplain,deberta-v3-base,2024,0.7957380457380457,0.7884547216860684,0.8277071459886015,0.8831423759635583,0.8287971905179983,0.8266199649737302,0.06569343065693431,0.05463754515324486,0.9218828480803642,0.5133669398689569,0.07451821404163353
hatexplain_roberta-base_llmclp_s42_swap_metrics,hatexplain,roberta-base,42,0.7817047817047817,0.7773194785382582,0.8085688240656336,0.8598624479868853,0.8431558935361216,0.776707530647986,0.04866180048661801,0.029180778312857134,0.9464382552200409,0.6830814410778671,0.027173191471378456
hatexplain_roberta-base_llmclp_s123_swap_metrics,hatexplain,roberta-base,123,0.7879417879417879,0.7779567970238552,0.8250428816466552,0.8585069716609708,0.8084033613445378,0.8423817863397548,0.05961070559610705,0.04054739027580931,1.0607373407195997,0.4971629007601197,0.0800631265557924
hatexplain_roberta-base_llmclp_s2024_swap_metrics,hatexplain,roberta-base,2024,0.7905405405405406,0.7809291887504178,0.8268156424581006,0.8598232561889447,0.8118143459915612,0.8423817863397548,0.06326034063260341,0.0441534876905001,0.6382403620428458,0.42161636511253286,0.034953634630353024
toxigen_bert-base-uncased_llmclp_s42_swap_metrics,toxigen,bert-base-uncased,42,0.8404017857142857,0.8339207271152981,0.8011126564673157,0.9109389107773126,0.829971181556196,0.7741935483870968,0.029850746268656716,0.020285272268828616,0.762945605390229,0.7384081552588228,0.055149808128633876
toxigen_bert-base-uncased_llmclp_s123_swap_metrics,toxigen,bert-base-uncased,123,0.828125,0.8226089281765683,0.7913279132791328,0.9106234096692113,0.7978142076502732,0.7849462365591398,0.033582089552238806,0.02303221297047254,0.9279503753633072,0.8799177209619368,0.06974970833963869
toxigen_bert-base-uncased_llmclp_s2024_swap_metrics,toxigen,bert-base-uncased,2024,0.84375,0.838333848850397,0.8087431693989071,0.9153661864893705,0.8222222222222222,0.7956989247311828,0.029850746268656716,0.0275922405964403,0.6476005396515997,0.8523384334632944,0.05645706569509171
toxigen_llmclp_s42_0519_0914_swap_metrics,toxigen,deberta-v3-base,42,0.8671875,0.8628691955989118,0.8385345997286295,0.9357198555364032,0.8465753424657534,0.8306451612903226,0.022388059701492536,0.022247604087495536,0.5646232375142353,0.9293557937551262,0.0436947879866986
toxigen_llmclp_s123_0519_0924_swap_metrics,toxigen,deberta-v3-base,123,0.8571428571428571,0.8535678535678536,0.8306878306878307,0.9317696790609866,0.8177083333333334,0.8440860215053764,0.022388059701492536,0.020653270595053685,0.6923136638843665,0.9545353730642943,0.052289187509477135
toxigen_llmclp_s2024_0519_0934_swap_metrics,toxigen,deberta-v3-base,2024,0.8560267857142857,0.8512231382619273,0.8244897959183674,0.9335959944184521,0.8347107438016529,0.8145161290322581,0.029850746268656716,0.018666990129138108,0.7080215436739087,0.8616856873197252,0.05188288659298301
toxigen_roberta-base_llmclp_s42_swap_metrics,toxigen,roberta-base,42,0.8549107142857143,0.8515913666131539,0.8293963254593176,0.9279939259624066,0.8102564102564103,0.8494623655913979,0.026119402985074626,0.02563988882353279,0.6655739550199141,0.8513068519561845,0.05381988553029339
toxigen_roberta-base_llmclp_s123_swap_metrics,toxigen,roberta-base,123,0.8683035714285714,0.8640769709404874,0.8401084010840109,0.9324494172207174,0.8469945355191257,0.8333333333333334,0.05223880597014925,0.029274879635047556,0.5888978167514732,0.8829771455216393,0.052214234277203835
toxigen_roberta-base_llmclp_s2024_swap_metrics,toxigen,roberta-base,2024,0.8448660714285714,0.8382660978761258,0.8055944055944056,0.9223149060165805,0.8396501457725948,0.7741935483870968,0.05223880597014925,0.026883026084570744,0.6830717968489064,0.838273039735776,0.05016841429615494
