dataset,method,eval_source,accuracy_mean,macro_f1_mean,auc_roc_mean,cfr_mean,ctfg_mean,fped_mean,fned_mean,accuracy_sd,macro_f1_sd,auc_roc_sd,cfr_sd,ctfg_sd,fped_sd,fned_sd,note
HateXplain,Standard FT,swap,0.8057865558,0.7989254004,0.8842710997,0.0782643958,0.0713029653,1.0067045000,0.5416508993,0.0012003124,0.0023847514,0.0008932806,0.0067002075,0.0107128330,0.1372280838,0.0536700696,
HateXplain,EAR,swap,0.8063063063,0.7985384400,0.8856786452,0.0823195458,0.0683199382,0.9002901402,0.4780201378,0.0019677437,0.0027809369,0.0022254311,0.0106288260,0.0087587770,0.2783881128,0.0958847409,
HateXplain,GetFair,swap,0.8057865558,0.7996879116,0.8836750112,0.0701540957,0.0614509283,1.2858696435,0.5025660831,0.0033415283,0.0032559256,0.0024409248,0.0050648808,0.0060109310,0.0060754764,0.0938658593,
HateXplain,CCDF,swap,0.7988565489,0.7919574607,0.8824796613,0.0815085158,0.0705200905,1.0499053562,0.5071212761,0.0069925281,0.0056284431,0.0021433543,0.0085158151,0.0127769174,0.2157610198,0.0784738411,
HateXplain,LogitPairing,swap,0.7870755371,0.7799335680,0.8630556464,0.0713706407,0.0431558016,0.7157455627,0.5257961322,0.0085771960,0.0079486070,0.0057898597,0.0186228102,0.0069497824,0.2172672636,0.0731585218,updated Davani/LogitPairing: LLM-CF train pairs for all datasets; swap-CF evaluation
HateXplain,AdvDebias,swap,0.7985100485,0.7930712314,0.8784203242,0.0811030008,0.0703111047,0.9341625411,0.5027448339,0.0053343050,0.0048170401,0.0118432686,0.0175593148,0.0139176127,0.1087717586,0.0577821654,
HateXplain,LLM-CLP,swap,0.8019750520,0.7951120229,0.8828782979,0.0754257908,0.0649399326,0.9888861564,0.5050839015,0.0056219614,0.0058188754,0.0015075758,0.0119815788,0.0112998208,0.1627509307,0.0426229829,
ToxiGen,Standard FT,swap,0.8537946429,0.8489567441,0.9228390312,0.0422885572,0.0439398122,0.6588171797,0.8211930578,0.0029528474,0.0018880325,0.0052183534,0.0056997210,0.0044491750,0.1470760655,0.1042500723,
ToxiGen,EAR,swap,0.8534226190,0.8485926722,0.9228612616,0.0410447761,0.0440346398,0.6680003206,0.8211930578,0.0028087182,0.0020685887,0.0051989418,0.0074626866,0.0045911582,0.1423231677,0.1042500723,
ToxiGen,GetFair,swap,0.8430059524,0.8385449839,0.9223217461,0.0373134328,0.0427644962,0.5998184717,0.7906326217,0.0061468421,0.0037306029,0.0007414561,0.0149253731,0.0112977407,0.0685544834,0.2282501842,
ToxiGen,CCDF,swap,0.8485863095,0.8439383430,0.9201277737,0.0410447761,0.0404615735,0.7914894648,0.7683335485,0.0061468421,0.0072753810,0.0041260810,0.0037313433,0.0042915044,0.1290060835,0.2036073606,
ToxiGen,LogitPairing,swap,0.8645833333,0.8602094703,0.9300194602,0.0136815920,0.0224124446,0.7547553783,0.7467319743,0.0042253782,0.0048767742,0.0012206466,0.0021542920,0.0009587138,0.0857732649,0.1254107079,updated Davani/LogitPairing: LLM-CF train pairs for all datasets; swap-CF evaluation
ToxiGen,AdvDebias,swap,0.8456101190,0.8407417888,0.9218147213,0.0435323383,0.0468829538,0.6566605116,0.8008252761,0.0074311698,0.0067279320,0.0021109798,0.0107714602,0.0096782930,0.1961958978,0.1784642527,
ToxiGen,LLM-CLP,swap,0.8601190476,0.8558867291,0.9336951763,0.0248756219,0.0205226216,0.6549861484,0.9151922847,0.0061468421,0.0061595902,0.0019769551,0.0043085841,0.0017938787,0.0786497051,0.0480179110,
DynaHate,Standard FT,swap,0.8495954693,0.8477419219,0.9312406992,0.1827593968,0.1774375377,0.0000000000,25.6131818074,0.0042203241,0.0046008315,0.0013313820,0.0098390695,0.0027030340,0.0000000000,2.3461170977,
DynaHate,EAR,swap,0.8495145631,0.8476968865,0.9310994406,0.1845599820,0.1774021129,0.0000000000,25.7468348492,0.0044557184,0.0047768670,0.0015721990,0.0091674147,0.0029307330,0.0000000000,2.4941634087,
DynaHate,GetFair,swap,0.8531553398,0.8522984558,0.9316757040,0.1746567634,0.1717839039,0.0000000000,29.3868678208,0.0088617166,0.0084685797,0.0060969659,0.0025563396,0.0092795321,0.0000000000,3.0978726900,
DynaHate,CCDF,swap,0.8556634304,0.8546144477,0.9309255656,0.1778077875,0.1744473369,0.0000000000,26.9119315404,0.0083176086,0.0084375609,0.0018970885,0.0327069311,0.0263679471,0.0000000000,1.7591312556,
DynaHate,LogitPairing,swap,0.8362459547,0.8352006188,0.9090112474,0.0826018456,0.0645930494,0.0000000000,30.0421575250,0.0002802671,0.0006206249,0.0015640823,0.0187649465,0.0206801857,0.0000000000,0.8509091833,updated Davani/LogitPairing: LLM-CF train pairs for all datasets; swap-CF evaluation
DynaHate,AdvDebias,swap,0.8556634304,0.8543883213,0.9327499435,0.1926626153,0.1860278144,0.0000000000,26.4570484017,0.0074626877,0.0064833940,0.0049054414,0.0250317367,0.0262943039,0.0000000000,6.3878401295,
DynaHate,LLM-CLP,swap,0.8550161812,0.8537718521,0.9305576982,0.0146297547,0.0124213588,0.0000000000,27.4314361307,0.0026845728,0.0031075929,0.0074774695,0.0033985300,0.0013949755,0.0000000000,1.5653352004,
